Attribute name,Type,Default value,mandatory
SAI_ACL_ENTRY_ATTR_FIELD_IP_IDENTIFICATION,sai_acl_field_data_t sai_uint16_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_DSCP,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ECN,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_TTL,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_TOS,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_IP_FLAGS,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_TCP_FLAGS,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ACL_IP_TYPE,sai_acl_field_data_t sai_acl_ip_type_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ACL_IP_FRAG,sai_acl_field_data_t sai_acl_ip_frag_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_IPV6_FLOW_LABEL,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_TC,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ICMP_TYPE,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ICMP_CODE,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ICMPV6_TYPE,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ICMPV6_CODE,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_PACKET_VLAN,sai_acl_field_data_t sai_packet_vlan_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_TUNNEL_VNI,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_HAS_VLAN_TAG,sai_acl_field_data_t bool,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MACSEC_SCI,sai_acl_field_data_t sai_uint64_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL0_LABEL,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL0_TTL,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL0_EXP,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL0_BOS,sai_acl_field_data_t bool,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL1_LABEL,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL1_TTL,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL1_EXP,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL1_BOS,sai_acl_field_data_t bool,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL2_LABEL,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL2_TTL,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL2_EXP,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL2_BOS,sai_acl_field_data_t bool,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL3_LABEL,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL3_TTL,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL3_EXP,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL3_BOS,sai_acl_field_data_t bool,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL4_LABEL,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL4_TTL,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL4_EXP,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_MPLS_LABEL4_BOS,sai_acl_field_data_t bool,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_FDB_DST_USER_META,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ROUTE_DST_USER_META,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_NEIGHBOR_DST_USER_META,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_PORT_USER_META,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_VLAN_USER_META,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ACL_USER_META,sai_acl_field_data_t sai_uint32_t,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_FDB_NPU_META_DST_HIT,sai_acl_field_data_t bool,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_NEIGHBOR_NPU_META_DST_HIT,sai_acl_field_data_t bool,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_ROUTE_NPU_META_DST_HIT,sai_acl_field_data_t bool,disabled,FALSE
SAI_ACL_ENTRY_ATTR_FIELD_BTH_OPCODE,sai_acl_field_data_t sai_uint8_t,disabled,FALSE
